Port,Count
80,2605
443,2532
2087,465
2083,464
22,461
2082,450
2086,417
21,348
8080,348
8443,336
8880,319
2096,271
2095,263
587,248
993,240
465,237
995,236
110,215
25,208
143,207
53,192
2053,183
3306,180
2052,175
2222,107
26,80
2077,69
5432,57
5269,53
5222,48
8008,46
2079,43
81,41
123,34
8000,30
8010,27
111,25
8888,25
8081,22
5000,21
2000,20
2525,19
8083,19
9090,19
8889,19
3389,18
4443,18
9999,17
3000,17
8009,17
9100,17
8001,16
5985,16
9000,16
8181,16
10000,16
444,16
7443,15
1521,15
4848,15
82,15
3001,15
5986,15
9091,15
9443,15
12345,15
1024,15
9001,15
9200,15
1935,14
8015,14
88,14
636,14
3050,14
4500,14
4567,14
5009,14
7547,14
8060,14
9002,14
9191,14
10134,14
25001,14
1337,14
5555,14
5800,14
5900,14
6443,14
10001,13
20000,13
3269,13
83,13
84,13
389,13
3268,13
4000,13
5001,13
5005,13
5007,13
5010,13
5201,13
5672,13
7777,13
7779,13
8200,13
9080,13
9530,13
9600,13
55000,13
554,13
1177,13
7171,13
8089,13
8139,13
8140,13
31337,13
50000,13
6000,12
6001,12
631,12
4064,12
4190,12
5901,12
6080,12
7474,12
8098,12
9306,12
9998,12
1234,12
4022,12
5601,12
7071,12
7548,12
8069,12
8112,12
9009,12
9800,12
10443,12
60001,12
1400,11
8090,11
1433,11
3790,11
5006,11
5560,11
8126,11
8800,11
8834,11
2345,11
4040,11
2480,10
4911,10
50050,10
3299,10
7001,10
8123,10
873,9
9943,9
8086,9
4949,8
2121,8
13579,7
106,6
7080,6
1025,5
8020,5
5353,5
2080,5
23,5
119,5
666,5
6667,5
161,5
79,4
1022,4
135,4
222,4
8887,4
2233,4
8082,3
8180,3
179,3
1167,3
2223,3
5801,3
5938,3
8004,3
14265,3
33060,3
7081,3
2200,3
445,2
5357,2
6002,2
6006,2
7005,2
8101,2
8182,2
49,2
9418,2
1366,2
11,2
15,2
17,2
20,2
37,2
427,2
2020,2
2376,2
2601,2
2626,2
3690,2
4242,2
4369,2
5025,2
6668,2
8002,2
8012,2
8017,2
8099,2
8622,2
8801,2
8989,2
9018,2
9032,2
9040,2
9096,2
9160,2
10250,2
311,2
3307,2
9030,2
522,2
4445,1
102,1
32400,1
8087,1
139,1
6005,1
6009,1
6010,1
7002,1
7010,1
7014,1
8084,1
22222,1
1023,1
21025,1
8891,1
24,1
43,1
70,1
90,1
97,1
104,1
195,1
199,1
221,1
447,1
450,1
541,1
593,1
675,1
800,1
806,1
808,1
990,1
992,1
994,1
1000,1
1311,1
1471,1
1515,1
1554,1
1599,1
1604,1
1741,1
1830,1
1833,1
1883,1
1911,1
1950,1
1962,1
1981,1
2001,1
2010,1
2022,1
2050,1
2051,1
2063,1
2065,1
2066,1
2067,1
2081,1
2122,1
2202,1
2221,1
2266,1
2352,1
2455,1
2506,1
2554,1
2561,1
2562,1
2568,1
2569,1
2762,1
2985,1
3055,1
3057,1
3061,1
3069,1
3070,1
3074,1
3075,1
3077,1
3085,1
3086,1
3089,1
3090,1
3093,1
3094,1
3096,1
3101,1
3103,1
3108,1
3109,1
3112,1
3113,1
3116,1
3119,1
3120,1
3128,1
3260,1
3333,1
3352,1
3388,1
3401,1
3402,1
3406,1
3408,1
3460,1
3503,1
3521,1
3522,1
3542,1
3548,1
3551,1
3567,1
3689,1
3922,1
3952,1
4010,1
4063,1
4118,1
4157,1
4243,1
4282,1
4321,1
4444,1
4506,1
4524,1
4550,1
4643,1
4664,1
4700,1
4782,1
4840,1
5070,1
5209,1
5400,1
5431,1
5542,1
5568,1
5600,1
5604,1
5605,1
5906,1
5907,1
6003,1
6004,1
6036,1
6264,1
6308,1
6352,1
6379,1
6503,1
6510,1
6511,1
6543,1
6565,1
6580,1
6600,1
6603,1
6622,1
6633,1
6653,1
6664,1
6697,1
6748,1
6789,1
6955,1
7000,1
7090,1
7433,1
7500,1
7510,1
7535,1
7537,1
7634,1
7657,1
7778,1
7989,1
8003,1
8023,1
8027,1
8031,1
8033,1
8039,1
8040,1
8050,1
8053,1
8057,1
8091,1
8092,1
8096,1
8102,1
8105,1
8111,1
8184,1
8241,1
8291,1
8401,1
8408,1
8409,1
8418,1
8421,1
8425,1
8428,1
8545,1
8554,1
8575,1
8585,1
8586,1
8621,1
8623,1
8637,1
8649,1
8765,1
8779,1
8782,1
8787,1
8789,1
8790,1
8802,1
8803,1
8808,1
8810,1
8820,1
8821,1
8823,1
8825,1
8827,1
8829,1
8830,1
8840,1
8849,1
8855,1
8858,1
8863,1
8864,1
8866,1
8867,1
8868,1
8873,1
8874,1
8879,1
8890,1
9003,1
9004,1
9014,1
9016,1
9017,1
9023,1
9025,1
9028,1
9031,1
9033,1
9034,1
9037,1
9038,1
9041,1
9047,1
9049,1
9050,1
9082,1
9089,1
9103,1
9104,1
9105,1
9109,1
9151,1
9199,1
9202,1
9203,1
9205,1
9207,1
9209,1
9213,1
9214,1
9220,1
9295,1
9300,1
9303,1
9309,1
9310,1
9311,1
9389,1
9444,1
9445,1
9500,1
9527,1
9633,1
9690,1
9743,1
9761,1
9861,1
9944,1
9950,1
9988,1
9990,1
9993,1
10243,1
11210,1
12000,1
14147,1
16010,1
16993,1
18081,1
19000,1
19071,1
20547,1
23424,1
25105,1
27015,1
28015,1
28017,1
35000,1
37215,1
37777,1
41800,1
44818,1
49152,1
50070,1
51106,1
51235,1
52869,1
54138,1
55442,1
55553,1
61613,1
61616,1
8011,1
5060,1
264,1
515,1
2323,1
8500,1
8025,1
8282,1
1723,1
13,1
548,1
16992,1
3391,1
888,1
3002,1
5607,1
8832,1
2232,1
8085,1
8822,1
9042,1
9046,1
9084,1
9092,1
9136,1
500,1
1194,1
8013,1
8014,1
8016,1
137,1
7654,1
6998,1
1500,1
1080,1
